story_number,general_question,analyst_count,analysts
1,Does the user story implementation involve input from the client or the environment?,1,victor
1,Does the user story implementation involve some output?,3,"daniel, marcelo, tulio"
2,"Does the user story implementation involve any sensitive transactions, data, or API?",2,"daniel, marcelo"
2,Does the user story implementation involve input from the client or the environment?,2,"daniel, victor"
2,Does the user story implementation involve some data serialization or deserialization?,1,daniel
2,Does the user story implementation involve some output?,3,"daniel, marcelo, tulio"
3,Does the user story implementation involve any data storage in the log?,1,daniel
3,"Does the user story implementation involve any sensitive transactions, data, or API?",2,"daniel, tulio"
3,Does the user story implementation involve input from the client or the environment?,4,"daniel, marcelo, tulio, victor"
3,Does the user story implementation involve some administrative interface?,2,"daniel, tulio"
3,Does the user story implementation involve some data serialization or deserialization?,1,daniel
3,Does the user story implementation involve some output?,2,"daniel, marcelo"
3,Does the user story involve some token?,1,daniel
4,"Does the user story implementation involve any sensitive transactions, data, or API?",1,tulio
4,Does the user story implementation involve input from the client or the environment?,2,"daniel, victor"
4,Does the user story implementation involve some administrative interface?,1,tulio
4,Does the user story implementation involve some data serialization or deserialization?,1,daniel
4,Does the user story implementation involve some output?,3,"daniel, marcelo, tulio"
5,"Does the user story implementation involve any sensitive transactions, data, or API?",3,"daniel, marcelo, tulio"
5,Does the user story implementation involve input from the client or the environment?,4,"daniel, marcelo, tulio, victor"
5,Does the user story implementation involve some administrative interface?,2,"daniel, tulio"
5,Does the user story implementation involve some output?,1,daniel
5,Does the user story involve some token?,1,daniel
5,Does the user story involve the implementation/change of some system authentication?,1,daniel
6,"Does the user story implementation involve any sensitive transactions, data, or API?",1,marcelo
6,Does the user story implementation involve input from the client or the environment?,1,daniel
6,Does the user story implementation involve some output?,1,daniel
6,Does the user story involve some token?,2,"daniel, marcelo"
7,Does the user story implementation involve any data storage in the log?,1,daniel
7,"Does the user story implementation involve any sensitive transactions, data, or API?",2,"daniel, tulio"
7,Does the user story implementation involve input from the client or the environment?,1,daniel
7,Does the user story implementation involve some administrative interface?,4,"daniel, marcelo, tulio, victor"
7,Does the user story implementation involve some output?,2,"daniel, tulio"
7,Does the user story involve some token?,1,daniel
8,"Does the user story implementation involve any sensitive transactions, data, or API?",1,daniel
8,Does the user story implementation involve input from the client or the environment?,3,"daniel, marcelo, victor"
8,Does the user story implementation involve some output?,1,daniel
8,Does the user story involve some token?,1,daniel
9,Does the user story implementation involve any data storage in the log?,1,daniel
9,Does the user story implementation involve input from the client or the environment?,3,"daniel, marcelo, victor"
9,Does the user story implementation involve some administrative interface?,1,daniel
9,Does the user story implementation involve some data serialization or deserialization?,1,daniel
9,Does the user story implementation involve some output?,1,daniel
10,Does the user story implementation involve any data storage in the log?,1,daniel
10,"Does the user story implementation involve any sensitive transactions, data, or API?",2,"daniel, tulio"
10,Does the user story implementation involve input from the client or the environment?,1,daniel
10,Does the user story implementation involve some administrative interface?,2,"daniel, tulio"
10,Does the user story implementation involve some output?,2,"daniel, marcelo"
11,Does the user story implementation involve any data storage in the log?,1,daniel
11,"Does the user story implementation involve any sensitive transactions, data, or API?",2,"daniel, tulio"
11,Does the user story implementation involve input from the client or the environment?,3,"daniel, marcelo, victor"
11,Does the user story implementation involve some administrative interface?,1,tulio
11,Does the user story implementation involve some data serialization or deserialization?,1,daniel
11,Does the user story implementation involve some output?,1,daniel
11,Does the user story involve some token?,1,daniel
