story_number,story_id,analyst_id,req_id,specific_question,general_question
1,89,daniel,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
1,89,daniel,V5.3.4,Does the user story implementation involve some output?,Does the user story implementation involve some output?
1,89,daniel,V5.3.1,Does the user story implementation involve some output?,Does the user story implementation involve some output?
1,89,daniel,V5.3.2,Does the user story implementation involve some output?,Does the user story implementation involve some output?
1,89,daniel,V5.3.5,Does the user story implementation involve some output?,Does the user story implementation involve some output?
1,131,marcelo,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
1,131,marcelo,V5.3.1,Does the user story implementation involve some output?,Does the user story implementation involve some output?
1,131,marcelo,V5.3.2,Does the user story implementation involve some output?,Does the user story implementation involve some output?
1,208,tulio,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
1,91,victor,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
2,113,daniel,V3.7.1,Does the user story implementation involve any sensitive transactions or account modification?,"Does the user story implementation involve any sensitive transactions, data, or API?"
2,113,daniel,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
2,113,daniel,V5.1.1,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
2,113,daniel,V5.2.2,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
2,113,daniel,V5.1.5,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
2,113,daniel,V5.3.1,Does the user story implementation involve some output?,Does the user story implementation involve some output?
2,113,daniel,V5.3.2,Does the user story implementation involve some output?,Does the user story implementation involve some output?
2,113,daniel,V5.5.1,Does the user story implementation involve object serialization?,Does the user story implementation involve some data serialization or deserialization?
2,132,marcelo,V8.3.4,Does the user story implementation involve using any sensitive data or API ?,"Does the user story implementation involve any sensitive transactions, data, or API?"
2,132,marcelo,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
2,132,marcelo,V5.3.1,Does the user story implementation involve some output?,Does the user story implementation involve some output?
2,132,marcelo,V5.3.2,Does the user story implementation involve some output?,Does the user story implementation involve some output?
2,209,tulio,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
2,91,victor,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
3,114,daniel,V3.3.2,Does the user story implementation involve some session token?,Does the user story involve some token?
3,114,daniel,V3.4.5,Does the user story implementation involve some session token?,Does the user story involve some token?
3,114,daniel,V3.3.1,Does the user story implementation involve some session token?,Does the user story involve some token?
3,114,daniel,V3.2.2,Does the user story implementation involve some session token?,Does the user story involve some token?
3,114,daniel,V3.1.1,Does the user story implementation involve some session token?,Does the user story involve some token?
3,114,daniel,V3.2.3,Does the user story implementation involve some session token?,Does the user story involve some token?
3,114,daniel,V3.7.1,Does the user story implementation involve any sensitive transactions or account modification?,"Does the user story implementation involve any sensitive transactions, data, or API?"
3,114,daniel,V4.3.1,Does the user story implementation involve some administrative interface?,Does the user story implementation involve some administrative interface?
3,114,daniel,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
3,114,daniel,V5.2.1,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
3,114,daniel,V5.1.1,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
3,114,daniel,V5.2.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
3,114,daniel,V5.2.2,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
3,114,daniel,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
3,114,daniel,V5.3.4,Does the user story implementation involve some output?,Does the user story implementation involve some output?
3,114,daniel,V5.3.1,Does the user story implementation involve some output?,Does the user story implementation involve some output?
3,114,daniel,V5.3.2,Does the user story implementation involve some output?,Does the user story implementation involve some output?
3,114,daniel,V5.3.5,Does the user story implementation involve some output?,Does the user story implementation involve some output?
3,114,daniel,V5.5.1,Does the user story implementation involve object serialization?,Does the user story implementation involve some data serialization or deserialization?
3,114,daniel,V7.1.1,Does the user story implementation involve any data storage in the log?,Does the user story implementation involve any data storage in the log?
3,114,daniel,V7.1.2,Does the user story implementation involve any data storage in the log?,Does the user story implementation involve any data storage in the log?
3,134,marcelo,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
3,134,marcelo,V5.1.4,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
3,134,marcelo,V5.2.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
3,134,marcelo,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
3,134,marcelo,V5.3.1,Does the user story implementation involve some output?,Does the user story implementation involve some output?
3,134,marcelo,V5.3.2,Does the user story implementation involve some output?,Does the user story implementation involve some output?
3,210,tulio,V3.7.1,Does the user story implementation involve any sensitive transactions or account modification?,"Does the user story implementation involve any sensitive transactions, data, or API?"
3,210,tulio,V4.3.1,Does the user story implementation involve some administrative interface?,Does the user story implementation involve some administrative interface?
3,210,tulio,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
3,93,victor,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
3,93,victor,V5.2.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
4,116,daniel,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
4,116,daniel,V5.2.1,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
4,116,daniel,V5.1.4,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
4,116,daniel,V5.1.1,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
4,116,daniel,V5.2.6,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
4,116,daniel,V5.2.2,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
4,116,daniel,V5.3.4,Does the user story implementation involve some output?,Does the user story implementation involve some output?
4,116,daniel,V5.3.5,Does the user story implementation involve some output?,Does the user story implementation involve some output?
4,116,daniel,V5.5.1,Does the user story implementation involve object serialization?,Does the user story implementation involve some data serialization or deserialization?
4,135,marcelo,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
4,135,marcelo,V5.3.1,Does the user story implementation involve some output?,Does the user story implementation involve some output?
4,135,marcelo,V5.3.2,Does the user story implementation involve some output?,Does the user story implementation involve some output?
4,211,tulio,V3.7.1,Does the user story implementation involve any sensitive transactions or account modification?,"Does the user story implementation involve any sensitive transactions, data, or API?"
4,211,tulio,V4.3.1,Does the user story implementation involve some administrative interface?,Does the user story implementation involve some administrative interface?
4,211,tulio,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
4,94,victor,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
5,117,daniel,V2.5.6,Does the user story involve the user creating/setting/recovering a password?,Does the user story involve the implementation/change of some system authentication?
5,117,daniel,V2.1.8,Does the user story involve the user creating/setting/recovering a password?,Does the user story involve the implementation/change of some system authentication?
5,117,daniel,V2.1.1,Does the user story involve the user creating/setting/recovering a password?,Does the user story involve the implementation/change of some system authentication?
5,117,daniel,V3.3.2,Does the user story implementation involve some session token?,Does the user story involve some token?
5,117,daniel,V3.7.1,Does the user story implementation involve any sensitive transactions or account modification?,"Does the user story implementation involve any sensitive transactions, data, or API?"
5,117,daniel,V4.3.1,Does the user story implementation involve some administrative interface?,Does the user story implementation involve some administrative interface?
5,117,daniel,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
5,117,daniel,V5.2.1,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
5,117,daniel,V5.1.4,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
5,117,daniel,V5.2.6,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
5,117,daniel,V5.2.2,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
5,117,daniel,V5.1.5,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
5,117,daniel,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
5,117,daniel,V5.3.1,Does the user story implementation involve some output?,Does the user story implementation involve some output?
5,136,marcelo,V3.7.1,Does the user story implementation involve any sensitive transactions or account modification?,"Does the user story implementation involve any sensitive transactions, data, or API?"
5,136,marcelo,V8.3.4,Does the user story implementation involve using any sensitive data or API ?,"Does the user story implementation involve any sensitive transactions, data, or API?"
5,136,marcelo,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
5,136,marcelo,V5.1.4,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
5,212,tulio,V3.7.1,Does the user story implementation involve any sensitive transactions or account modification?,"Does the user story implementation involve any sensitive transactions, data, or API?"
5,212,tulio,V4.3.1,Does the user story implementation involve some administrative interface?,Does the user story implementation involve some administrative interface?
5,212,tulio,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
5,95,victor,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
6,120,daniel,V3.3.2,Does the user story implementation involve some session token?,Does the user story involve some token?
6,120,daniel,V3.3.1,Does the user story implementation involve some session token?,Does the user story involve some token?
6,120,daniel,V3.2.2,Does the user story implementation involve some session token?,Does the user story involve some token?
6,120,daniel,V3.1.1,Does the user story implementation involve some session token?,Does the user story involve some token?
6,120,daniel,V3.2.3,Does the user story implementation involve some session token?,Does the user story involve some token?
6,120,daniel,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
6,120,daniel,V5.1.4,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
6,120,daniel,V5.1.1,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
6,120,daniel,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
6,120,daniel,V5.3.1,Does the user story implementation involve some output?,Does the user story implementation involve some output?
6,137,marcelo,V3.3.2,Does the user story implementation involve some session token?,Does the user story involve some token?
6,137,marcelo,V3.7.1,Does the user story implementation involve any sensitive transactions or account modification?,"Does the user story implementation involve any sensitive transactions, data, or API?"
7,123,daniel,V3.3.2,Does the user story implementation involve some session token?,Does the user story involve some token?
7,123,daniel,V3.3.1,Does the user story implementation involve some session token?,Does the user story involve some token?
7,123,daniel,V3.2.2,Does the user story implementation involve some session token?,Does the user story involve some token?
7,123,daniel,V3.1.1,Does the user story implementation involve some session token?,Does the user story involve some token?
7,123,daniel,V3.2.3,Does the user story implementation involve some session token?,Does the user story involve some token?
7,123,daniel,V3.4.2,Does the user story implementation involve some cookie-based session token?,Does the user story involve some token?
7,123,daniel,V3.4.1,Does the user story implementation involve some cookie-based session token?,Does the user story involve some token?
7,123,daniel,V3.7.1,Does the user story implementation involve any sensitive transactions or account modification?,"Does the user story implementation involve any sensitive transactions, data, or API?"
7,123,daniel,V4.3.1,Does the user story implementation involve some administrative interface?,Does the user story implementation involve some administrative interface?
7,123,daniel,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
7,123,daniel,V5.1.4,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
7,123,daniel,V5.1.1,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
7,123,daniel,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
7,123,daniel,V5.3.4,Does the user story implementation involve some output?,Does the user story implementation involve some output?
7,123,daniel,V5.3.1,Does the user story implementation involve some output?,Does the user story implementation involve some output?
7,123,daniel,V7.1.2,Does the user story implementation involve any data storage in the log?,Does the user story implementation involve any data storage in the log?
7,138,marcelo,V4.3.1,Does the user story implementation involve some administrative interface?,Does the user story implementation involve some administrative interface?
7,214,tulio,V3.7.1,Does the user story implementation involve any sensitive transactions or account modification?,"Does the user story implementation involve any sensitive transactions, data, or API?"
7,214,tulio,V4.3.1,Does the user story implementation involve some administrative interface?,Does the user story implementation involve some administrative interface?
7,214,tulio,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
7,97,victor,V4.3.1,Does the user story implementation involve some administrative interface?,Does the user story implementation involve some administrative interface?
8,125,daniel,V3.3.2,Does the user story implementation involve some session token?,Does the user story involve some token?
8,125,daniel,V3.3.1,Does the user story implementation involve some session token?,Does the user story involve some token?
8,125,daniel,V3.2.2,Does the user story implementation involve some session token?,Does the user story involve some token?
8,125,daniel,V3.1.1,Does the user story implementation involve some session token?,Does the user story involve some token?
8,125,daniel,V3.2.3,Does the user story implementation involve some session token?,Does the user story involve some token?
8,125,daniel,V3.4.2,Does the user story implementation involve some cookie-based session token?,Does the user story involve some token?
8,125,daniel,V3.4.1,Does the user story implementation involve some cookie-based session token?,Does the user story involve some token?
8,125,daniel,V3.4.4,Does the user story implementation involve some cookie-based session token?,Does the user story involve some token?
8,125,daniel,V3.4.3,Does the user story implementation involve some cookie-based session token?,Does the user story involve some token?
8,125,daniel,V3.7.1,Does the user story implementation involve any sensitive transactions or account modification?,"Does the user story implementation involve any sensitive transactions, data, or API?"
8,125,daniel,V13.1.3,Does the user story implementation involve using any sensitive data or API ?,"Does the user story implementation involve any sensitive transactions, data, or API?"
8,125,daniel,V13.1.1,Does the user story implementation involve using any sensitive data or API ?,"Does the user story implementation involve any sensitive transactions, data, or API?"
8,125,daniel,V8.3.4,Does the user story implementation involve using any sensitive data or API ?,"Does the user story implementation involve any sensitive transactions, data, or API?"
8,125,daniel,V4.2.1,Does the user story implementation involve using any sensitive data or API ?,"Does the user story implementation involve any sensitive transactions, data, or API?"
8,125,daniel,V8.3.1,Does the user story implementation involve using any sensitive data or API ?,"Does the user story implementation involve any sensitive transactions, data, or API?"
8,125,daniel,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
8,125,daniel,V5.1.4,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
8,125,daniel,V5.1.1,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
8,125,daniel,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
8,125,daniel,V5.3.4,Does the user story implementation involve some output?,Does the user story implementation involve some output?
8,125,daniel,V5.3.1,Does the user story implementation involve some output?,Does the user story implementation involve some output?
8,140,marcelo,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
8,140,marcelo,V5.1.4,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
8,98,victor,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
9,129,daniel,V4.3.1,Does the user story implementation involve some administrative interface?,Does the user story implementation involve some administrative interface?
9,129,daniel,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
9,129,daniel,V5.1.4,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
9,129,daniel,V5.1.1,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
9,129,daniel,V5.2.2,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
9,129,daniel,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
9,129,daniel,V5.3.1,Does the user story implementation involve some output?,Does the user story implementation involve some output?
9,129,daniel,V5.3.2,Does the user story implementation involve some output?,Does the user story implementation involve some output?
9,129,daniel,V5.3.5,Does the user story implementation involve some output?,Does the user story implementation involve some output?
9,129,daniel,V5.5.1,Does the user story implementation involve object serialization?,Does the user story implementation involve some data serialization or deserialization?
9,129,daniel,V7.1.1,Does the user story implementation involve any data storage in the log?,Does the user story implementation involve any data storage in the log?
9,129,daniel,V7.1.2,Does the user story implementation involve any data storage in the log?,Does the user story implementation involve any data storage in the log?
9,141,marcelo,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
9,99,victor,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
10,145,daniel,V3.7.1,Does the user story implementation involve any sensitive transactions or account modification?,"Does the user story implementation involve any sensitive transactions, data, or API?"
10,145,daniel,V4.3.1,Does the user story implementation involve some administrative interface?,Does the user story implementation involve some administrative interface?
10,145,daniel,V5.1.3,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
10,145,daniel,V5.1.4,Does the user story implementation involve input from the client or the environment?,Does the user story implementation involve input from the client or the environment?
10,145,daniel,V5.3.1,Does the user story implementation involve some output?,Does the user story implementation involve some output?
10,145,daniel,V5.3.5,Does the user story implementation involve some output?,Does the user story implementation involve some output?
10,145,daniel,V7.1.1,Does the user story implementation involve any data storage in the log?,Does the user story implementation involve any data storage in the log?
10,145,daniel,V7.1.2,Does the user story implementation involve any data storage in the log?,Does the user story implementation involve any data storage in the log?
10,143,marcelo,V5.3.3,Does the user story implementation involve some output?,Does the user story implementation involve some output?
10,143,marcelo,V5.3.1,Does the user story implementation involve some output?,Does the user story implementation involve some output?
